"","cartaAltaRoboClustering","cartaMediaRoboClustering","cartaBaixaRoboClustering","kmeans.cluster","idMao"
"1008",41,7,3,3,1104
"1009",20,12,7,7,1105
"1010",7,3,3,2,1106
"1011",41,20,3,6,1107
"1012",20,3,3,4,1108
"1013",20,7,3,4,1110
"1014",20,3,3,4,1111
"1015",20,20,3,7,1112
"1016",12,7,7,5,1113
"1017",20,7,3,4,1114
"1018",12,7,3,5,1116
"1019",7,3,3,2,1117
"1020",3,3,3,2,1118
"1021",51,41,7,6,1119
"1022",20,12,3,4,1120
"1023",3,3,3,2,1121
"1024",3,3,3,2,1122
"1025",41,41,7,6,1123
"1026",51,41,7,6,1124
"1027",20,7,3,4,1125
"1028",20,7,3,4,1126
"1029",20,20,12,1,1127
"1030",7,3,3,2,1128
"1031",12,7,3,5,1129
"1032",51,41,7,6,1130
"1033",7,7,3,5,1131
"1034",51,20,7,6,1132
"1035",20,12,7,7,1134
"1036",20,7,3,4,1135
"1037",20,3,3,4,1136
"1038",51,20,7,6,1137
"1039",7,3,3,2,1138
"1040",20,7,7,4,1139
"1041",20,7,7,4,1140
"1042",20,7,7,4,1141
"1043",12,7,3,5,1142
"1044",51,3,3,3,1143
"1045",20,12,7,7,1144
"1046",51,7,3,3,1145
